date,food_item,meals_served,temp_c,is_holiday,day_of_week,waste_kg,checkout_price,base_price,emailer_for_promotion,homepage_featured
2023-09-22,Samsa,120.0,18.9,0,Friday,1.99,17212.0,10855.0,1,0
2023-01-29,Tom Yum Soup,218.0,6.3,0,Sunday,4.4,36849.0,23192.0,0,0
2023-08-03,Seafood Paella,93.0,41.2,0,Thursday,,,49223.0,0,0
2023-01-04,Chicken Tikka,181.0,-3.4,0,Wednesday,,40686.0,,0,0
2023-03-09,Tom Yum Soup,218.0,31.6,0,Thursday,3.55,36188.0,26528.0,0,0
2023-02-17,Samsa,206.0,-3.1,1,Friday,6.82,15905.0,10360.0,0,0
2023-04-16,Tom Yum Soup,,,0,Sunday,4.05,31585.0,26873.0,0,1
2023-11-26,Chicken Tikka,276.0,12.5,0,Sunday,7.72,43784.0,30140.0,1,0
2023-07-05,Plov,178.0,40.9,0,Wednesday,4.69,32916.0,28631.0,0,1
2023-11-28,Seafood Paella,114.0,,0,Tuesday,2.08,63199.0,45414.0,0,0
2023-04-29,Vegetable Stir Fry,146.0,18.1,0,Saturday,,27478.0,20378.0,0,0
2023-11-09,Burger & Fries,251.0,5.7,1,Thursday,7.41,33602.0,27521.0,0,0
2023-12-26,Samsa,183.0,-0.5,0,Tuesday,2.38,16801.0,10329.0,0,0
2023-05-22,Vegetable Stir Fry,169.0,28.7,0,Monday,4.37,28880.0,20213.0,0,1
2023-12-16,Pasta Carbonara,255.0,,0,Saturday,3.65,39039.0,28934.0,1,1
2023-05-02,Tom Yum Soup,,24.5,0,Tuesday,5.6,33425.0,,0,1
2023-01-26,Margherita Pizza,90.0,-6.5,0,Thursday,1.02,36460.0,32807.0,0,0
2023-11-18,Beef Steak,233.0,11.6,0,Saturday,4.04,,56163.0,0,1
2023-07-11,Lamb Kebab,101.0,26.7,0,Tuesday,1.13,53881.0,43410.0,0,0
2023-01-23,Lagman,118.0,-6.9,0,Monday,1.26,27150.0,21699.0,1,0
2023-01-21,Thai Green Curry,120.0,-7.2,0,Saturday,1.6,40568.0,31403.0,0,0
2023-05-11,Tom Yum Soup,,21.7,0,Thursday,2.13,33573.0,25696.0,0,0
2023-07-09,Shashlik,184.0,30.4,0,Sunday,6.6,,36666.0,1,0
2023-11-12,Grilled Chicken,323.0,8.0,0,Sunday,3.12,43970.0,34534.0,0,0
2023-10-10,Caesar Salad,101.0,14.5,0,Tuesday,,42687.0,29470.0,0,0
2023-02-07,Tom Yum Soup,141.0,-4.5,0,Tuesday,2.8,37179.0,24813.0,0,0
2023-07-15,Pasta Carbonara,232.0,44.9,0,Saturday,8.84,,,1,0
2023-08-26,Chicken Tikka,273.0,,0,Saturday,6.82,41289.0,34679.0,0,1
2023-09-20,Fish and Chips,,7.4,0,Wednesday,2.23,51432.0,35361.0,0,0
2023-03-02,Pasta Carbonara,197.0,9.5,0,Thursday,2.99,38709.0,,0,0
2023-03-04,Margherita Pizza,149.0,13.8,0,Saturday,1.68,38925.0,27980.0,0,0
2023-05-02,Plov,225.0,29.0,0,Tuesday,2.33,32193.0,27951.0,1,0
2023-02-18,Manti,217.0,-1.5,0,Saturday,2.41,26545.0,18472.0,0,0
2023-01-06,Margherita Pizza,144.0,-13.9,0,Friday,1.96,44772.0,,0,0
2023-02-03,Fish and Chips,127.0,3.2,0,Friday,2.96,,31227.0,0,1
2023-12-13,Fish and Chips,,-9.3,0,Wednesday,6.17,,32350.0,0,1
2023-04-20,Seafood Paella,250.0,18.2,0,Thursday,2.19,60317.0,,1,0
2023-10-19,Chicken Tikka,,10.9,0,Thursday,1.97,38080.0,34300.0,0,0
2023-08-18,Thai Green Curry,127.0,32.4,0,Friday,3.96,34412.0,29486.0,1,0
2023-10-14,Pasta Carbonara,328.0,15.2,0,Saturday,6.04,47591.0,30405.0,0,0
2023-04-28,Samsa,,17.5,0,Friday,2.53,14543.0,9273.0,0,0
2023-02-13,Shashlik,,-2.9,0,Monday,3.2,39769.0,36258.0,0,1
2023-09-06,Lagman,224.0,7.3,0,Wednesday,4.1,,22219.0,1,0
2023-08-16,Thai Green Curry,,37.2,0,Wednesday,2.45,42038.0,31004.0,0,0
2023-09-30,Margherita Pizza,241.0,1.9,0,Saturday,,,29057.0,0,0
2023-11-10,Fish and Chips,203.0,16.4,0,Friday,,38838.0,32676.0,0,0
2023-12-17,Samsa,264.0,-7.7,0,Sunday,5.89,13249.0,,1,1
2023-08-28,Vegetable Stir Fry,,,0,Monday,2.58,29189.0,23495.0,0,0
2023-05-30,Caesar Salad,177.0,,0,Tuesday,,36951.0,27964.0,1,0
2023-03-27,Beef Steak,140.0,,0,Monday,1.14,66461.0,,1,0
2023-05-25,Fish and Chips,201.0,20.9,0,Thursday,3.32,49873.0,34447.0,0,1
2023-07-24,Chicken Tikka,67.0,38.3,0,Monday,0.73,36530.0,30024.0,0,0
2023-01-02,Plov,352.0,-7.8,1,Monday,4.72,,27163.0,0,0
2023-06-07,Lagman,127.0,38.4,0,Wednesday,1.96,29172.0,20641.0,1,1
2023-06-01,Manti,104.0,40.9,0,Thursday,2.74,24419.0,19784.0,0,1
2023-05-25,Shashlik,142.0,18.6,0,Thursday,1.43,,33666.0,0,0
2023-05-18,Beef Steak,191.0,,0,Thursday,3.69,75222.0,61605.0,0,0
2023-11-18,Grilled Chicken,178.0,11.8,0,Saturday,3.53,51052.0,38837.0,1,0
2023-10-04,Shashlik,73.0,12.8,0,Wednesday,,41616.0,37734.0,1,0
2023-08-25,Samsa,242.0,30.2,0,Friday,3.82,15367.0,9873.0,0,1
2023-09-05,Seafood Paella,,13.0,0,Tuesday,0.93,65770.0,,1,0
2023-01-02,Pasta Carbonara,,-5.1,1,Monday,1.66,39223.0,29672.0,1,0
2023-07-26,Burger & Fries,160.0,,0,Wednesday,2.24,40355.0,,1,1
2023-12-05,Lagman,72.0,-3.7,0,Tuesday,0.94,27215.0,21832.0,1,0
2023-08-22,Vegetable Stir Fry,88.0,38.4,0,Tuesday,2.08,28502.0,21505.0,0,0
2023-02-11,Sushi Set,209.0,-2.1,0,Saturday,4.55,69379.0,47848.0,0,1
2023-07-05,Lamb Kebab,60.0,39.8,0,Wednesday,0.81,56344.0,,0,0
2023-12-26,Shashlik,,-5.4,0,Tuesday,4.0,44135.0,35658.0,1,1
2023-05-28,Burger & Fries,190.0,17.8,0,Sunday,2.82,34798.0,25831.0,0,0
2023-10-20,Lagman,252.0,,0,Friday,,32680.0,23854.0,0,0
2023-01-10,Beef Steak,226.0,-6.6,0,Tuesday,1.47,67980.0,62172.0,0,0
2023-07-01,Tom Yum Soup,,40.6,0,Saturday,5.45,31507.0,25001.0,1,1
2023-05-15,Tom Yum Soup,187.0,17.5,0,Monday,4.69,32872.0,,1,0
2023-11-11,Plov,122.0,13.7,0,Saturday,2.71,32759.0,27254.0,0,0
2023-09-01,Beef Steak,231.0,11.0,1,Friday,3.08,,58285.0,0,0
2023-05-12,Lagman,,19.6,0,Friday,2.31,31888.0,,1,0
2023-10-29,Beef Steak,306.0,,0,Sunday,,85271.0,61353.0,0,0
2023-02-23,Samsa,220.0,,0,Thursday,6.4,13273.0,9077.0,0,1
2023-05-16,Pasta Carbonara,202.0,24.7,0,Tuesday,4.18,40272.0,32646.0,1,0
2023-03-31,Caesar Salad,126.0,9.5,0,Friday,2.79,43547.0,27464.0,0,0
2023-10-18,Seafood Paella,91.0,6.6,0,Wednesday,1.42,62677.0,44270.0,0,1
2023-07-27,Vegetable Stir Fry,,34.4,0,Thursday,3.03,32333.0,22935.0,0,0
2023-03-19,Seafood Paella,99.0,8.3,0,Sunday,1.62,52185.0,46099.0,0,0
2023-06-18,Thai Green Curry,,27.1,0,Sunday,1.49,41874.0,30652.0,0,1
2023-10-24,Samsa,220.0,,0,Tuesday,2.98,13197.0,10645.0,0,0
2023-10-17,Pasta Carbonara,140.0,10.1,0,Tuesday,2.94,39385.0,29774.0,0,0
2023-07-02,Lamb Kebab,235.0,39.3,0,Sunday,,51457.0,41405.0,0,0
2023-10-17,Mushroom Risotto,239.0,12.1,0,Tuesday,2.22,38380.0,28080.0,0,0
2023-09-06,Thai Green Curry,177.0,19.4,0,Wednesday,,43078.0,28544.0,0,1
2023-07-09,Thai Green Curry,171.0,35.6,0,Sunday,2.47,38230.0,28828.0,0,0
2023-07-09,Grilled Chicken,90.0,34.7,0,Sunday,2.56,52882.0,34673.0,1,1
2023-11-05,Manti,114.0,7.1,0,Sunday,3.3,,18912.0,0,0
2023-05-30,Shashlik,222.0,21.6,0,Tuesday,2.09,45726.0,36614.0,0,0
2023-11-21,Grilled Chicken,96.0,15.0,0,Tuesday,1.12,50499.0,37282.0,0,0
2023-04-15,Sushi Set,151.0,20.6,0,Saturday,,72361.0,49181.0,0,1
2023-05-27,Caesar Salad,123.0,12.8,0,Saturday,2.74,37644.0,32897.0,0,1
2023-05-05,Manti,85.0,22.4,0,Friday,2.25,24805.0,17798.0,1,0
2023-08-09,Caesar Salad,154.0,33.8,0,Wednesday,2.68,34004.0,30577.0,1,0
2023-11-10,Seafood Paella,,15.1,0,Friday,0.67,64831.0,41302.0,1,0
2023-01-27,Grilled Chicken,161.0,-5.7,0,Friday,1.31,55587.0,36055.0,1,0
2023-10-10,Thai Green Curry,136.0,20.7,0,Tuesday,2.79,44471.0,31968.0,1,1
2023-04-01,Tom Yum Soup,193.0,4.0,0,Saturday,4.99,37347.0,26529.0,0,0
2023-06-21,Sushi Set,121.0,30.7,1,Wednesday,5.42,61667.0,50339.0,1,1
2023-08-30,Burger & Fries,143.0,27.0,0,Wednesday,2.87,43664.0,26227.0,0,0
2023-12-25,Sushi Set,96.0,-3.6,0,Monday,1.55,73146.0,46974.0,1,1
2023-07-09,Shashlik,163.0,28.5,0,Sunday,,48128.0,32653.0,1,0
2023-05-07,Thai Green Curry,223.0,21.2,0,Sunday,2.29,36996.0,28579.0,0,0
2023-03-18,Shashlik,,,0,Saturday,5.46,41956.0,,0,0
2023-03-08,Samsa,115.0,17.1,0,Wednesday,,13196.0,9417.0,1,0
2023-09-12,Samsa,207.0,17.9,1,Tuesday,6.88,14808.0,10035.0,0,0
2023-05-12,Samsa,149.0,25.5,0,Friday,1.63,13606.0,10041.0,0,0
2023-04-20,Pasta Carbonara,146.0,16.9,0,Thursday,,44171.0,,0,0
2023-08-29,Seafood Paella,134.0,37.6,0,Tuesday,1.68,68109.0,46128.0,1,0
2023-07-14,Plov,249.0,,0,Friday,5.73,35301.0,29825.0,1,0
2023-04-24,Thai Green Curry,212.0,19.8,0,Monday,2.85,35458.0,28184.0,0,1
2023-10-06,Pasta Carbonara,109.0,10.5,0,Friday,2.23,35952.0,,0,0
2023-05-05,Grilled Chicken,208.0,12.7,0,Friday,4.35,56859.0,41766.0,0,1
2023-02-20,Seafood Paella,249.0,7.4,0,Monday,5.17,62691.0,47739.0,0,1
2023-02-08,Fish and Chips,130.0,-6.3,0,Wednesday,1.49,46393.0,32813.0,0,0
2023-06-22,Caesar Salad,95.0,25.0,0,Thursday,1.69,37204.0,29640.0,0,0
2023-11-27,Thai Green Curry,203.0,16.7,0,Monday,5.61,,30652.0,1,1
2023-01-14,Pasta Carbonara,212.0,,0,Saturday,4.2,,32954.0,1,0
2023-09-25,Shashlik,132.0,19.2,0,Monday,1.42,39567.0,37784.0,0,0
2023-09-06,Thai Green Curry,193.0,26.5,0,Wednesday,,,27554.0,0,1
2023-12-22,Lamb Kebab,210.0,-2.2,0,Friday,2.38,,38931.0,0,0
2023-05-22,Pasta Carbonara,146.0,20.7,0,Monday,,44329.0,34767.0,0,0
2023-04-13,Tom Yum Soup,,,0,Thursday,3.63,30928.0,,1,0
2023-03-30,Pasta Carbonara,164.0,10.1,0,Thursday,,42754.0,31912.0,0,0
2023-04-19,Samsa,134.0,10.4,0,Wednesday,1.71,17160.0,9955.0,0,0
2023-02-06,Fish and Chips,193.0,-1.1,0,Monday,,38301.0,32219.0,1,0
2023-12-30,Shashlik,310.0,-10.1,0,Saturday,2.86,49309.0,,0,0
2023-11-14,Tom Yum Soup,204.0,19.6,0,Tuesday,4.17,35995.0,24361.0,0,0
2023-11-24,Lagman,163.0,16.4,0,Friday,2.08,33156.0,24120.0,0,0
2023-01-13,Samsa,,0.9,0,Friday,,12773.0,,1,0
2023-12-17,Margherita Pizza,255.0,,0,Sunday,2.77,45716.0,,0,0
2023-09-05,Grilled Chicken,,13.8,0,Tuesday,1.57,54253.0,38570.0,0,1
2023-11-20,Burger & Fries,234.0,13.1,0,Monday,3.53,43242.0,27878.0,0,0
2023-02-10,Chicken Tikka,157.0,,0,Friday,,,31335.0,0,0
2023-07-06,Sushi Set,138.0,31.4,0,Thursday,1.91,56922.0,45909.0,0,0
2023-12-03,Burger & Fries,282.0,-3.2,0,Sunday,3.02,34357.0,26669.0,1,0
2023-10-04,Grilled Chicken,159.0,,0,Wednesday,1.19,45826.0,40131.0,0,0
2023-05-27,Beef Steak,118.0,23.1,0,Saturday,1.51,67467.0,56722.0,1,0
2023-07-24,Tom Yum Soup,110.0,33.5,0,Monday,3.42,39858.0,24240.0,0,1
2023-07-12,Pasta Carbonara,101.0,31.9,0,Wednesday,2.4,38880.0,32489.0,0,0
2023-10-10,Vegetable Stir Fry,205.0,16.7,0,Tuesday,4.83,30174.0,23243.0,1,0
2023-09-22,Mushroom Risotto,,17.7,1,Friday,10.66,36054.0,,1,0
2023-08-08,Burger & Fries,214.0,42.6,0,Tuesday,3.82,32662.0,,0,0
2023-10-23,Chicken Tikka,118.0,12.9,0,Monday,,,,1,0
2023-10-23,Caesar Salad,97.0,16.3,0,Monday,2.17,35075.0,27759.0,1,0
2023-03-12,Tom Yum Soup,265.0,19.5,0,Sunday,,39672.0,25732.0,1,0
2023-10-10,Mushroom Risotto,,13.3,0,Tuesday,2.19,,25357.0,0,0
2023-09-09,Pasta Carbonara,235.0,11.7,0,Saturday,3.27,45884.0,30424.0,0,1
2023-06-15,Vegetable Stir Fry,,33.5,0,Thursday,1.93,28976.0,21355.0,1,0
2023-01-16,Manti,143.0,-2.6,0,Monday,2.47,26305.0,,0,0
2023-09-30,Mushroom Risotto,208.0,15.9,0,Saturday,5.01,38591.0,,0,0
2023-01-01,Caesar Salad,279.0,-2.3,1,Sunday,3.6,34903.0,27440.0,0,0
2023-10-30,Shashlik,168.0,23.1,0,Monday,3.99,41844.0,35101.0,1,1
2023-10-21,Pasta Carbonara,143.0,24.0,0,Saturday,3.98,41653.0,31946.0,0,0
2023-12-17,Fish and Chips,322.0,4.1,0,Sunday,8.25,40006.0,30752.0,0,0
2023-01-19,Sushi Set,,-9.4,0,Thursday,1.76,65631.0,48033.0,0,0
2023-09-27,Fish and Chips,185.0,21.3,0,Wednesday,,47944.0,34553.0,0,0
2023-05-04,Mushroom Risotto,146.0,12.2,0,Thursday,1.98,39454.0,30437.0,0,0
2023-04-24,Mushroom Risotto,97.0,22.1,0,Monday,1.18,41701.0,27147.0,0,1
2023-03-09,Lagman,152.0,21.3,0,Thursday,3.58,31256.0,21980.0,0,0
2023-12-30,Beef Steak,205.0,-6.5,0,Saturday,4.26,85472.0,,1,0
2023-09-27,Burger & Fries,,26.0,0,Wednesday,4.02,38686.0,29404.0,0,0
2023-04-05,Mushroom Risotto,,,0,Wednesday,2.03,39348.0,27084.0,0,0
2023-11-15,Fish and Chips,240.0,14.8,0,Wednesday,5.45,42038.0,,0,0
2023-05-07,Shashlik,228.0,12.0,0,Sunday,2.74,45124.0,,0,0
2023-08-18,Plov,117.0,34.8,0,Friday,1.62,40008.0,28250.0,0,0
2023-10-14,Shashlik,328.0,,0,Saturday,,49804.0,34542.0,0,0
2023-07-21,Tom Yum Soup,154.0,35.3,0,Friday,4.46,33859.0,25298.0,1,0
2023-08-08,Samsa,183.0,,0,Tuesday,,12841.0,10244.0,0,0
2023-10-23,Beef Steak,,14.0,0,Monday,1.35,72163.0,62480.0,0,1
2023-03-04,Samsa,150.0,17.6,0,Saturday,3.42,,,1,0
2023-11-01,Chicken Tikka,126.0,12.3,0,Wednesday,2.35,41148.0,34103.0,1,0
2023-02-08,Lamb Kebab,230.0,-1.3,0,Wednesday,,55633.0,43357.0,0,1
2023-01-19,Manti,192.0,-8.6,0,Thursday,2.29,25705.0,,0,0
2023-07-06,Mushroom Risotto,128.0,35.0,0,Thursday,2.65,39963.0,26301.0,0,0
2023-02-14,Burger & Fries,95.0,-2.9,0,Tuesday,1.76,39490.0,,1,0
2023-09-07,Seafood Paella,155.0,23.9,0,Thursday,2.21,61293.0,43250.0,0,0
2023-10-20,Lagman,107.0,14.4,0,Friday,1.87,27268.0,20731.0,1,0
2023-05-01,Shashlik,252.0,21.1,0,Monday,3.86,,36270.0,0,0
2023-10-13,Pasta Carbonara,125.0,4.8,0,Friday,1.13,40715.0,32087.0,0,0
2023-05-02,Pasta Carbonara,,,0,Tuesday,,39727.0,31604.0,0,0
2023-05-19,Fish and Chips,73.0,21.8,0,Friday,1.06,45439.0,30952.0,0,1
2023-07-26,Shashlik,99.0,26.2,0,Wednesday,1.78,,34607.0,1,0
2023-11-05,Margherita Pizza,118.0,15.4,0,Sunday,1.73,40199.0,28350.0,0,0
2023-11-30,Burger & Fries,,14.4,0,Thursday,2.47,43432.0,28810.0,0,0
2023-09-06,Burger & Fries,179.0,7.4,0,Wednesday,3.86,33341.0,29437.0,0,0
2023-12-12,Beef Steak,213.0,0.9,0,Tuesday,2.83,80706.0,,0,0
2023-08-16,Pasta Carbonara,156.0,31.1,0,Wednesday,3.84,45019.0,31995.0,1,0
2023-01-17,Chicken Tikka,187.0,3.9,0,Tuesday,2.35,40347.0,34129.0,0,1
2023-08-12,Lagman,118.0,35.4,0,Saturday,3.67,25590.0,21009.0,0,0
2023-06-08,Vegetable Stir Fry,180.0,42.2,0,Thursday,1.99,,22356.0,0,1
2023-06-11,Pasta Carbonara,,34.5,0,Sunday,8.6,46052.0,,0,1
2023-06-29,Caesar Salad,140.0,,0,Thursday,,,31432.0,1,0
2023-06-28,Seafood Paella,179.0,37.7,0,Wednesday,3.3,52355.0,,0,0
2023-03-14,Lamb Kebab,187.0,,0,Tuesday,4.13,53561.0,43721.0,0,1
2023-04-27,Samsa,92.0,22.4,0,Thursday,1.54,16921.0,9120.0,0,0
2023-10-26,Burger & Fries,255.0,11.8,0,Thursday,5.77,37565.0,29930.0,0,1
2023-05-31,Chicken Tikka,267.0,22.2,1,Wednesday,7.75,,,0,0
2023-10-04,Mushroom Risotto,162.0,24.9,0,Wednesday,2.33,43284.0,27684.0,0,0
2023-02-18,Seafood Paella,334.0,0.9,0,Saturday,,60516.0,40809.0,0,0
2023-10-10,Caesar Salad,150.0,10.9,0,Tuesday,2.79,38008.0,31396.0,0,0
2023-05-29,Shashlik,165.0,9.7,0,Monday,2.41,45808.0,38227.0,1,0
2023-02-02,Manti,199.0,3.8,0,Thursday,4.42,,19165.0,1,1
2023-11-04,Lagman,,15.2,0,Saturday,5.56,27805.0,20920.0,0,0
2023-11-16,Vegetable Stir Fry,119.0,7.3,0,Thursday,1.98,34121.0,23426.0,0,1
2023-10-27,Lagman,127.0,6.0,0,Friday,,27212.0,20030.0,0,0
2023-04-27,Pasta Carbonara,218.0,16.2,0,Thursday,3.16,47455.0,30347.0,0,0
2023-10-15,Chicken Tikka,302.0,,0,Sunday,4.22,42086.0,,0,0
2023-05-18,Beef Steak,85.0,17.1,0,Thursday,1.01,73093.0,55489.0,0,1
2023-06-30,Plov,231.0,,0,Friday,4.93,,28386.0,1,0
2023-01-24,Grilled Chicken,153.0,4.5,0,Tuesday,3.46,45306.0,38422.0,0,0
2023-02-05,Vegetable Stir Fry,303.0,-8.6,0,Sunday,7.28,,22157.0,0,0
2023-10-08,Fish and Chips,,15.1,0,Sunday,2.57,41791.0,36304.0,1,0
2023-04-21,Seafood Paella,146.0,13.7,0,Friday,3.05,68968.0,47524.0,1,0
2023-10-17,Shashlik,177.0,9.8,0,Tuesday,4.14,47993.0,33400.0,1,0
2023-09-30,Thai Green Curry,282.0,13.6,0,Saturday,7.51,43917.0,28920.0,0,0
2023-02-07,Manti,125.0,2.3,0,Tuesday,1.2,,19593.0,0,1
2023-05-10,Tom Yum Soup,250.0,19.4,0,Wednesday,,35665.0,26519.0,0,0
2023-04-17,Fish and Chips,109.0,22.5,0,Monday,1.89,,33762.0,0,0
2023-04-05,Fish and Chips,177.0,15.4,0,Wednesday,,,32134.0,0,1
2023-06-22,Manti,174.0,26.9,0,Thursday,2.36,28231.0,17084.0,0,0
2023-07-20,Plov,134.0,,0,Thursday,3.42,38523.0,30585.0,0,1
2023-01-21,Shashlik,,-12.3,0,Saturday,2.46,51048.0,31981.0,0,0
2023-05-13,Thai Green Curry,216.0,14.5,0,Saturday,4.82,34582.0,30622.0,0,0
2023-04-05,Lamb Kebab,172.0,29.3,0,Wednesday,3.25,52959.0,,0,1
