meals_served,temp_c,is_holiday,waste_kg,checkout_price,base_price,emailer_for_promotion,homepage_featured,price_ratio,month,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,food_item_encoded
146.0,16.6,0,1.84,36981.0,29234.0,0,1,1.2649996579325442,8,1,0,0,0,0,0,0,10
274.0,15.0,0,4.22,76002.0,30676.0,0,0,2.4775720432911723,10,0,0,0,1,0,0,0,0
91.0,16.6,0,1.46,39154.0,36690.0,0,0,1.067157263559553,11,0,0,0,0,0,1,0,4
83.0,16.0,0,0.85,45301.0,30622.0,0,0,1.4793612435503887,11,0,0,0,0,0,0,1,2
219.0,4.1,0,4.12,36729.0,30676.0,1,0,1.1973203807536836,5,0,0,0,0,1,0,0,11
172.0,32.2,0,1.92,60291.0,48372.0,0,1,1.2464028776978417,8,0,0,0,0,0,1,0,16
194.0,-6.7,0,3.31,40243.0,22260.0,0,1,1.8078616352201258,1,1,0,0,0,0,0,0,6
299.0,15.0,1,8.34,38257.0,26877.0,0,0,1.4234103508576106,10,0,0,0,0,0,1,0,10
231.0,-4.0,0,4.07,40243.0,30676.0,0,0,1.311872473594993,12,0,0,0,0,0,1,0,17
99.0,32.1,0,2.2,30216.0,23889.0,0,1,1.2648499309305539,7,0,0,0,0,0,1,0,18
193.0,4.0,0,1.64,40243.0,31467.0,0,0,1.2788953506848444,10,0,0,0,0,0,1,0,9
195.0,16.6,0,4.0,28945.0,30676.0,0,0,0.9435715217107836,3,0,0,1,0,0,0,0,6
261.0,16.6,0,2.56,33019.0,19864.0,0,0,1.6622533225936367,5,0,0,0,0,1,0,0,19
183.0,16.6,0,4.59,40243.0,30676.0,0,0,1.311872473594993,6,0,1,0,0,0,0,0,7
217.0,29.0,0,4.32,30951.0,30676.0,0,0,1.008964662928674,7,0,1,0,0,0,0,0,6
142.0,30.1,0,1.95,25156.0,19210.0,0,0,1.3095262883914627,6,0,0,0,0,0,1,0,8
171.5,2.7,0,5.32,50938.0,40015.0,1,0,1.2729726352617767,4,0,0,0,1,0,0,0,5
329.0,19.2,0,2.9,68822.0,46584.0,0,0,1.477374205735875,4,0,0,0,1,0,0,0,14
176.0,16.2,0,1.65,41848.0,30069.0,0,0,1.3917323489307925,11,0,0,1,0,0,0,0,2
93.0,16.6,0,1.13,74348.0,54312.0,0,0,1.3689055825600236,6,0,0,0,0,0,0,1,0
146.0,16.0,0,2.01,60538.0,30676.0,1,0,1.9734645977311254,4,1,0,0,0,0,0,0,14
70.0,16.6,0,1.55,37613.0,29688.0,0,0,1.266942872541094,4,1,0,0,0,0,0,0,3
87.0,-1.9,0,0.77,39209.0,30517.0,0,0,1.2848248517219911,12,0,1,0,0,0,0,0,10
332.0,0.2,1,8.31,38617.0,30676.0,0,0,1.2588668666058156,1,0,0,0,1,0,0,0,12
187.0,20.9,0,2.82,34145.0,27054.0,1,0,1.2621054187920455,3,0,0,0,0,0,0,1,9
176.0,29.1,0,3.02,52807.0,45424.0,0,0,1.1625352236703064,3,0,0,0,1,0,0,0,7
324.0,16.6,1,6.23,30984.0,30676.0,0,0,1.0100404224801147,3,0,0,0,0,0,0,1,12
149.0,32.2,0,2.82,36075.0,34774.0,0,1,1.0374130097199057,6,0,0,0,0,1,0,0,3
246.0,33.1,0,4.77,59298.0,30676.0,0,1,1.9330421176163777,8,0,0,0,0,1,0,0,14
171.5,38.5,0,5.39,38381.0,32475.0,0,0,1.1818629715165512,6,0,0,1,0,0,0,0,9
151.0,16.6,0,1.95,32188.0,30237.0,0,0,1.0645235969176836,1,0,1,0,0,0,0,0,12
231.0,17.2,0,2.8,38201.0,27338.0,0,0,1.3973589874899408,3,0,0,0,0,0,1,0,10
292.0,16.6,0,7.37,29893.0,25622.0,1,0,1.166692685972992,4,0,0,1,0,0,0,0,12
123.0,16.6,0,2.82,38642.0,24121.0,0,0,1.6020065503088594,10,0,1,0,0,0,0,0,18
157.0,21.9,0,3.68,40243.0,28799.0,1,0,1.3973749088510017,11,0,0,0,0,0,0,1,9
194.0,17.2,0,4.35,45387.0,34974.0,1,0,1.297735460627895,9,0,0,0,0,1,0,0,5
164.0,16.6,0,1.53,40742.0,33894.0,0,0,1.20204165929073,5,0,0,0,0,0,1,0,15
231.0,33.2,0,7.11,17125.0,9897.0,1,0,1.7303223198949176,7,0,1,0,0,0,0,0,13
171.5,34.1,0,1.7,64384.0,47252.0,1,0,1.3625666638449165,7,0,0,0,0,0,0,1,14
259.0,18.0,0,5.63,40243.0,30708.0,1,1,1.3105054057574574,10,0,0,0,0,1,0,0,10
310.0,5.1,0,7.65,36755.0,30676.0,1,0,1.198167948885122,5,0,0,0,1,0,0,0,17
171.5,7.7,0,2.82,40243.0,31773.0,0,0,1.2665785415289712,10,0,1,0,0,0,0,0,9
117.0,16.6,0,1.92,70345.0,62597.0,1,0,1.123775899803505,6,0,0,0,0,0,0,1,0
305.0,14.3,0,8.69,43162.0,30676.0,1,1,1.4070282957360802,4,0,0,0,1,0,0,0,5
231.0,36.7,0,7.24,41369.0,30676.0,0,0,1.3485786934411266,8,0,0,1,0,0,0,0,10
250.0,16.6,0,5.67,39848.0,33254.0,0,0,1.1982919348048355,9,0,0,1,0,0,0,0,15
154.0,16.6,0,2.82,40243.0,30388.0,1,1,1.3243056469659076,1,0,0,1,0,0,0,0,1
89.0,31.0,0,1.35,57794.0,39742.0,0,0,1.4542297820945096,8,0,0,0,0,1,0,0,7
120.0,18.9,0,1.99,17212.0,10855.0,1,0,1.58562874251497,9,1,0,0,0,0,0,0,13
218.0,6.3,0,4.4,36849.0,23192.0,0,0,1.5888668506381511,1,0,0,0,1,0,0,0,18
93.0,41.2,0,2.82,40243.0,49223.0,0,0,0.8175649594701664,8,0,0,0,0,1,0,0,14
181.0,-3.4,0,2.82,40686.0,30676.0,0,0,1.3263137306037294,1,0,0,0,0,0,0,1,3
218.0,31.6,0,3.55,36188.0,26528.0,0,0,1.3641435464414957,3,0,0,0,0,1,0,0,18
206.0,-3.1,1,6.82,15905.0,10360.0,0,0,1.5352316602316602,2,1,0,0,0,0,0,0,13
171.5,16.6,0,4.05,31585.0,26873.0,0,1,1.1753432813604734,4,0,0,0,1,0,0,0,18
276.0,12.5,0,7.72,43784.0,30140.0,1,0,1.4526874585268745,11,0,0,0,1,0,0,0,3
178.0,40.9,0,4.69,32916.0,28631.0,0,1,1.1496629527435298,7,0,0,0,0,0,0,1,12
114.0,16.6,0,2.08,63199.0,45414.0,0,0,1.3916193244373982,11,0,0,0,0,0,1,0,14
146.0,18.1,0,2.82,27478.0,20378.0,0,0,1.3484149573068995,4,0,0,1,0,0,0,0,19
251.0,5.7,1,7.41,33602.0,27521.0,0,0,1.2209585407506995,11,0,0,0,0,1,0,0,1
183.0,-0.5,0,2.38,16801.0,10329.0,0,0,1.6265853422402943,12,0,0,0,0,0,1,0,13
169.0,28.7,0,4.37,28880.0,20213.0,0,1,1.42878345619156,5,0,1,0,0,0,0,0,19
255.0,16.6,0,3.65,39039.0,28934.0,1,1,1.3492431049975806,12,0,0,1,0,0,0,0,11
171.5,24.5,0,5.6,33425.0,30676.0,0,1,1.0896140305124526,5,0,0,0,0,0,1,0,18
90.0,-6.5,0,1.02,36460.0,32807.0,0,0,1.1113481878867315,1,0,0,0,0,1,0,0,9
233.0,11.6,0,4.04,40243.0,56163.0,0,1,0.7165393586524936,11,0,0,1,0,0,0,0,0
101.0,26.7,0,1.13,53881.0,43410.0,0,0,1.2412117023727252,7,0,0,0,0,0,1,0,7
118.0,-6.9,0,1.26,27150.0,21699.0,1,0,1.251209733167427,1,0,1,0,0,0,0,0,6
120.0,-7.2,0,1.6,40568.0,31403.0,0,0,1.2918510970289463,1,0,0,1,0,0,0,0,17
171.5,21.7,0,2.13,33573.0,25696.0,0,0,1.3065457658779576,5,0,0,0,0,1,0,0,18
184.0,30.4,0,6.6,40243.0,36666.0,1,0,1.0975563192058038,7,0,0,0,1,0,0,0,15
323.0,8.0,0,3.12,43970.0,34534.0,0,0,1.2732379683789887,11,0,0,0,1,0,0,0,5
101.0,14.5,0,2.82,42687.0,29470.0,0,0,1.4484899898201562,10,0,0,0,0,0,1,0,2
141.0,-4.5,0,2.8,37179.0,24813.0,0,0,1.498367791077258,2,0,0,0,0,0,1,0,18
232.0,44.9,0,8.84,40243.0,30676.0,1,0,1.311872473594993,7,0,0,1,0,0,0,0,11
273.0,16.6,0,6.82,41289.0,34679.0,0,1,1.1906052654344128,8,0,0,1,0,0,0,0,3
171.5,7.4,0,2.23,51432.0,35361.0,0,0,1.45448375328752,9,0,0,0,0,0,0,1,4
197.0,9.5,0,2.99,38709.0,30676.0,0,0,1.2618659538401356,3,0,0,0,0,1,0,0,11
149.0,13.8,0,1.68,38925.0,27980.0,0,0,1.3911722659042174,3,0,0,1,0,0,0,0,9
225.0,29.0,0,2.33,32193.0,27951.0,1,0,1.1517655897821186,5,0,0,0,0,0,1,0,12
217.0,-1.5,0,2.41,26545.0,18472.0,0,0,1.4370398440883498,2,0,0,1,0,0,0,0,8
144.0,-13.9,0,1.96,44772.0,30676.0,0,0,1.4595123223366802,1,1,0,0,0,0,0,0,9
127.0,3.2,0,2.96,40243.0,31227.0,0,1,1.2887245012329074,2,1,0,0,0,0,0,0,4
171.5,-9.3,0,6.17,40243.0,32350.0,0,1,1.2439876352395671,12,0,0,0,0,0,0,1,4
250.0,18.2,0,2.19,60317.0,30676.0,1,0,1.9662602686139001,4,0,0,0,0,1,0,0,14
171.5,10.9,0,1.97,38080.0,34300.0,0,0,1.110204081632653,10,0,0,0,0,1,0,0,3
127.0,32.4,0,3.96,34412.0,29486.0,1,0,1.1670623346672997,8,1,0,0,0,0,0,0,17
328.0,15.2,0,6.04,47591.0,30405.0,0,0,1.56523598092419,10,0,0,1,0,0,0,0,11
171.5,17.5,0,2.53,14543.0,9273.0,0,0,1.5683166181386823,4,1,0,0,0,0,0,0,13
171.5,-2.9,0,3.2,39769.0,36258.0,0,1,1.0968338021953776,2,0,1,0,0,0,0,0,15
224.0,7.3,0,4.1,40243.0,22219.0,1,0,1.8111976236554301,9,0,0,0,0,0,0,1,6
171.5,37.2,0,2.45,42038.0,31004.0,0,0,1.355889562637079,8,0,0,0,0,0,0,1,17
241.0,1.9,0,2.82,40243.0,29057.0,0,0,1.3849674777162129,9,0,0,1,0,0,0,0,9
203.0,16.4,0,2.82,38838.0,32676.0,0,0,1.1885787734116784,11,1,0,0,0,0,0,0,4
264.0,-7.7,0,5.89,13249.0,30676.0,1,1,0.43190116051636457,12,0,0,0,1,0,0,0,13
171.5,16.6,0,2.58,29189.0,23495.0,0,0,1.2423494360502234,8,0,1,0,0,0,0,0,19
177.0,16.6,0,2.82,36951.0,27964.0,1,0,1.321377485338292,5,0,0,0,0,0,1,0,2
140.0,16.6,0,1.14,66461.0,30676.0,1,0,2.1665471378276178,3,0,1,0,0,0,0,0,0
201.0,20.9,0,3.32,49873.0,34447.0,0,1,1.4478183876680117,5,0,0,0,0,1,0,0,4
67.0,38.3,0,0.73,36530.0,30024.0,0,0,1.216693312017053,7,0,1,0,0,0,0,0,3
352.0,-7.8,1,4.72,40243.0,27163.0,0,0,1.4815373854139822,1,0,1,0,0,0,0,0,12
127.0,38.4,0,1.96,29172.0,20641.0,1,1,1.413303619010707,6,0,0,0,0,0,0,1,6
104.0,40.9,0,2.74,24419.0,19784.0,0,1,1.2342802264456125,6,0,0,0,0,1,0,0,8
142.0,18.6,0,1.43,40243.0,33666.0,0,0,1.195360304164439,5,0,0,0,0,1,0,0,15
191.0,16.6,0,3.69,75222.0,61605.0,0,0,1.2210372534696858,5,0,0,0,0,1,0,0,0
178.0,11.8,0,3.53,51052.0,38837.0,1,0,1.314519659087983,11,0,0,1,0,0,0,0,5
73.0,12.8,0,2.82,41616.0,37734.0,1,0,1.1028780410240102,10,0,0,0,0,0,0,1,15
242.0,30.2,0,3.82,15367.0,9873.0,0,1,1.5564671325838144,8,1,0,0,0,0,0,0,13
171.5,13.0,0,0.93,65770.0,30676.0,1,0,2.1440213847959315,9,0,0,0,0,0,1,0,14
171.5,-5.1,1,1.66,39223.0,29672.0,1,0,1.3218859530870855,1,0,1,0,0,0,0,0,11
160.0,16.6,0,2.24,40355.0,30676.0,1,1,1.3155235363150346,7,0,0,0,0,0,0,1,1
72.0,-3.7,0,0.94,27215.0,21832.0,1,0,1.2465646757053865,12,0,0,0,0,0,1,0,6
88.0,38.4,0,2.08,28502.0,21505.0,0,0,1.3253661939083934,8,0,0,0,0,0,1,0,19
209.0,-2.1,0,4.55,69379.0,47848.0,0,1,1.4499874602909213,2,0,0,1,0,0,0,0,16
60.0,39.8,0,0.81,56344.0,30676.0,0,0,1.836745338375277,7,0,0,0,0,0,0,1,7
171.5,-5.4,0,4.0,44135.0,35658.0,1,1,1.2377306635257166,12,0,0,0,0,0,1,0,15
190.0,17.8,0,2.82,34798.0,25831.0,0,0,1.3471410320932213,5,0,0,0,1,0,0,0,1
252.0,16.6,0,2.82,32680.0,23854.0,0,0,1.3700008384338056,10,1,0,0,0,0,0,0,6
226.0,-6.6,0,1.47,67980.0,62172.0,0,0,1.0934182590233545,1,0,0,0,0,0,1,0,0
171.5,40.6,0,5.45,31507.0,25001.0,1,1,1.2602295908163674,7,0,0,1,0,0,0,0,18
187.0,17.5,0,4.69,32872.0,30676.0,1,0,1.0715869083322467,5,0,1,0,0,0,0,0,18
122.0,13.7,0,2.71,32759.0,27254.0,0,0,1.2019886989065824,11,0,0,1,0,0,0,0,12
231.0,11.0,1,3.08,40243.0,58285.0,0,0,0.6904520888736382,9,1,0,0,0,0,0,0,0
171.5,19.6,0,2.31,31888.0,30676.0,1,0,1.0395097144347372,5,1,0,0,0,0,0,0,6
306.0,16.6,0,2.82,85271.0,61353.0,0,0,1.389842387495314,10,0,0,0,1,0,0,0,0
220.0,16.6,0,6.4,13273.0,9077.0,0,1,1.4622672689214498,2,0,0,0,0,1,0,0,13
202.0,24.7,0,4.18,40272.0,32646.0,1,0,1.2335967653004962,5,0,0,0,0,0,1,0,11
126.0,9.5,0,2.79,43547.0,27464.0,0,0,1.5856029711622488,3,1,0,0,0,0,0,0,2
91.0,6.6,0,1.42,62677.0,44270.0,0,1,1.4157894736842105,10,0,0,0,0,0,0,1,14
171.5,34.4,0,3.03,32333.0,22935.0,0,0,1.4097667320688902,7,0,0,0,0,1,0,0,19
99.0,8.3,0,1.62,52185.0,46099.0,0,0,1.132020217358294,3,0,0,0,1,0,0,0,14
171.5,27.1,0,1.49,41874.0,30652.0,0,1,1.3661098786376094,6,0,0,0,1,0,0,0,17
220.0,16.6,0,2.98,13197.0,10645.0,0,0,1.2397369657116017,10,0,0,0,0,0,1,0,13
140.0,10.1,0,2.94,39385.0,29774.0,0,0,1.322798414724256,10,0,0,0,0,0,1,0,11
235.0,39.3,0,2.82,51457.0,41405.0,0,0,1.2427726120033813,7,0,0,0,1,0,0,0,7
239.0,12.1,0,2.22,38380.0,28080.0,0,0,1.3668091168091168,10,0,0,0,0,0,1,0,10
177.0,19.4,0,2.82,43078.0,28544.0,0,1,1.5091788116591929,9,0,0,0,0,0,0,1,17
171.0,35.6,0,2.47,38230.0,28828.0,0,0,1.3261412515609823,7,0,0,0,1,0,0,0,17
90.0,34.7,0,2.56,52882.0,34673.0,1,1,1.5251636720214576,7,0,0,0,1,0,0,0,5
114.0,7.1,0,3.3,40243.0,18912.0,0,0,2.12790820642978,11,0,0,0,1,0,0,0,8
222.0,21.6,0,2.09,45726.0,36614.0,0,0,1.2488665537772436,5,0,0,0,0,0,1,0,15
96.0,15.0,0,1.12,50499.0,37282.0,0,0,1.3545142427981332,11,0,0,0,0,0,1,0,5
151.0,20.6,0,2.82,72361.0,49181.0,0,1,1.4713202252902544,4,0,0,1,0,0,0,0,16
123.0,12.8,0,2.74,37644.0,32897.0,0,1,1.14429887223759,5,0,0,1,0,0,0,0,2
85.0,22.4,0,2.25,24805.0,17798.0,1,0,1.3936959208899877,5,1,0,0,0,0,0,0,8
154.0,33.8,0,2.68,34004.0,30577.0,1,0,1.1120777054648918,8,0,0,0,0,0,0,1,2
171.5,15.1,0,0.67,64831.0,41302.0,1,0,1.569681855600213,11,1,0,0,0,0,0,0,14
161.0,-5.7,0,1.31,55587.0,36055.0,1,0,1.541727915684371,1,1,0,0,0,0,0,0,5
136.0,20.7,0,2.79,44471.0,31968.0,1,1,1.39110985985986,10,0,0,0,0,0,1,0,17
193.0,4.0,0,4.99,37347.0,26529.0,0,0,1.407780165102341,4,0,0,1,0,0,0,0,18
121.0,30.7,1,5.42,61667.0,50339.0,1,1,1.2250342676652297,6,0,0,0,0,0,0,1,16
143.0,27.0,0,2.87,43664.0,26227.0,0,0,1.6648492012048652,8,0,0,0,0,0,0,1,1
96.0,-3.6,0,1.55,73146.0,46974.0,1,1,1.5571592796014817,12,0,1,0,0,0,0,0,16
163.0,28.5,0,2.82,48128.0,32653.0,1,0,1.4739227636051817,7,0,0,0,1,0,0,0,15
223.0,21.2,0,2.29,36996.0,28579.0,0,0,1.294516953007453,5,0,0,0,1,0,0,0,17
171.5,16.6,0,5.46,41956.0,30676.0,0,0,1.3677141739470595,3,0,0,1,0,0,0,0,15
115.0,17.1,0,2.82,13196.0,9417.0,1,0,1.4012955293617926,3,0,0,0,0,0,0,1,13
207.0,17.9,1,6.88,14808.0,10035.0,0,0,1.4756352765321374,9,0,0,0,0,0,1,0,13
149.0,25.5,0,1.63,13606.0,10041.0,0,0,1.3550443182949905,5,1,0,0,0,0,0,0,13
146.0,16.9,0,2.82,44171.0,30676.0,0,0,1.439920458990742,4,0,0,0,0,1,0,0,11
134.0,37.6,0,1.68,68109.0,46128.0,1,0,1.476521852237253,8,0,0,0,0,0,1,0,14
249.0,16.6,0,5.73,35301.0,29825.0,1,0,1.18360435875943,7,1,0,0,0,0,0,0,12
212.0,19.8,0,2.85,35458.0,28184.0,0,1,1.2580896962815782,4,0,1,0,0,0,0,0,17
109.0,10.5,0,2.23,35952.0,30676.0,0,0,1.171991133133394,10,1,0,0,0,0,0,0,11
208.0,12.7,0,4.35,56859.0,41766.0,0,1,1.3613704927452952,5,1,0,0,0,0,0,0,5
249.0,7.4,0,5.17,62691.0,47739.0,0,1,1.3132030415383649,2,0,1,0,0,0,0,0,14
130.0,-6.3,0,1.49,46393.0,32813.0,0,0,1.4138603602230824,2,0,0,0,0,0,0,1,4
95.0,25.0,0,1.69,37204.0,29640.0,0,0,1.255195681511471,6,0,0,0,0,1,0,0,2
203.0,16.7,0,5.61,40243.0,30652.0,1,1,1.3128996476575754,11,0,1,0,0,0,0,0,17
212.0,16.6,0,4.2,40243.0,32954.0,1,0,1.2211871093038782,1,0,0,1,0,0,0,0,11
132.0,19.2,0,1.42,39567.0,37784.0,0,0,1.0471892864704637,9,0,1,0,0,0,0,0,15
193.0,26.5,0,2.82,40243.0,27554.0,0,1,1.4605138999782246,9,0,0,0,0,0,0,1,17
210.0,-2.2,0,2.38,40243.0,38931.0,0,0,1.0337006498677146,12,1,0,0,0,0,0,0,7
146.0,20.7,0,2.82,44329.0,34767.0,0,0,1.2750309201254062,5,0,1,0,0,0,0,0,11
171.5,16.6,0,3.63,30928.0,30676.0,1,0,1.0082148911200939,4,0,0,0,0,1,0,0,18
164.0,10.1,0,2.82,42754.0,31912.0,0,0,1.3397468037102032,3,0,0,0,0,1,0,0,11
134.0,10.4,0,1.71,17160.0,9955.0,0,0,1.723756906077348,4,0,0,0,0,0,0,1,13
193.0,-1.1,0,2.82,38301.0,32219.0,1,0,1.1887706011980508,2,0,1,0,0,0,0,0,4
310.0,-10.1,0,2.86,49309.0,30676.0,0,0,1.6074129612726562,12,0,0,1,0,0,0,0,15
204.0,19.6,0,4.17,35995.0,24361.0,0,0,1.477566602356225,11,0,0,0,0,0,1,0,18
163.0,16.4,0,2.08,33156.0,24120.0,0,0,1.3746268656716418,11,1,0,0,0,0,0,0,6
171.5,0.9,0,2.82,12773.0,30676.0,1,0,0.4163841439561872,1,1,0,0,0,0,0,0,13
255.0,16.6,0,2.77,45716.0,30676.0,0,0,1.490285565262746,12,0,0,0,1,0,0,0,9
171.5,13.8,0,1.57,54253.0,38570.0,0,1,1.4066113559761473,9,0,0,0,0,0,1,0,5
234.0,13.1,0,3.53,43242.0,27878.0,0,0,1.5511155750053807,11,0,1,0,0,0,0,0,1
157.0,16.6,0,2.82,40243.0,31335.0,0,0,1.2842827509175043,2,1,0,0,0,0,0,0,3
138.0,31.4,0,1.91,56922.0,45909.0,0,0,1.2398876037378292,7,0,0,0,0,1,0,0,16
282.0,-3.2,0,3.02,34357.0,26669.0,1,0,1.2882747759571038,12,0,0,0,1,0,0,0,1
159.0,16.6,0,1.19,45826.0,40131.0,0,0,1.1419102439510602,10,0,0,0,0,0,0,1,5
118.0,23.1,0,1.51,67467.0,56722.0,1,0,1.1894326716265293,5,0,0,1,0,0,0,0,0
110.0,33.5,0,3.42,39858.0,24240.0,0,1,1.6443069306930693,7,0,1,0,0,0,0,0,18
101.0,31.9,0,2.4,38880.0,32489.0,0,0,1.196712733540583,7,0,0,0,0,0,0,1,11
205.0,16.7,0,4.83,30174.0,23243.0,1,0,1.2981973067160004,10,0,0,0,0,0,1,0,19
171.5,17.7,1,10.66,36054.0,30676.0,1,0,1.175316208110575,9,1,0,0,0,0,0,0,10
214.0,42.6,0,3.82,32662.0,30676.0,0,0,1.0647411657321684,8,0,0,0,0,0,1,0,1
118.0,12.9,0,2.82,40243.0,30676.0,1,0,1.311872473594993,10,0,1,0,0,0,0,0,3
97.0,16.3,0,2.17,35075.0,27759.0,1,0,1.263554162613927,10,0,1,0,0,0,0,0,2
265.0,19.5,0,2.82,39672.0,25732.0,1,0,1.5417379138815483,3,0,0,0,1,0,0,0,18
171.5,13.3,0,2.19,40243.0,25357.0,0,0,1.5870568284891746,10,0,0,0,0,0,1,0,10
235.0,11.7,0,3.27,45884.0,30424.0,0,1,1.5081514593741783,9,0,0,1,0,0,0,0,11
171.5,33.5,0,1.93,28976.0,21355.0,1,0,1.3568719269491922,6,0,0,0,0,1,0,0,19
143.0,-2.6,0,2.47,26305.0,30676.0,0,0,0.8575107575955144,1,0,1,0,0,0,0,0,8
208.0,15.9,0,5.01,38591.0,30676.0,0,0,1.2580192984743774,9,0,0,1,0,0,0,0,10
279.0,-2.3,1,3.6,34903.0,27440.0,0,0,1.2719752186588922,1,0,0,0,1,0,0,0,2
168.0,23.1,0,3.99,41844.0,35101.0,1,1,1.1921027890943279,10,0,1,0,0,0,0,0,15
143.0,24.0,0,3.98,41653.0,31946.0,0,0,1.3038565078570088,10,0,0,1,0,0,0,0,11
322.0,4.1,0,8.25,40006.0,30752.0,0,0,1.300923517169615,12,0,0,0,1,0,0,0,4
171.5,-9.4,0,1.76,65631.0,48033.0,0,0,1.3663731184810444,1,0,0,0,0,1,0,0,16
185.0,21.3,0,2.82,47944.0,34553.0,0,0,1.3875495615431366,9,0,0,0,0,0,0,1,4
146.0,12.2,0,1.98,39454.0,30437.0,0,0,1.2962512731215297,5,0,0,0,0,1,0,0,10
97.0,22.1,0,1.18,41701.0,27147.0,0,1,1.5361181714369911,4,0,1,0,0,0,0,0,10
152.0,21.3,0,3.58,31256.0,21980.0,0,0,1.4220200181983622,3,0,0,0,0,1,0,0,6
205.0,-6.5,0,4.26,85472.0,30676.0,1,0,2.786282435780415,12,0,0,1,0,0,0,0,0
171.5,26.0,0,4.02,38686.0,29404.0,0,0,1.3156713372330295,9,0,0,0,0,0,0,1,1
171.5,16.6,0,2.03,39348.0,27084.0,0,0,1.452813469206912,4,0,0,0,0,0,0,1,10
240.0,14.8,0,5.45,42038.0,30676.0,0,0,1.3703872734385187,11,0,0,0,0,0,0,1,4
228.0,12.0,0,2.74,45124.0,30676.0,0,0,1.4709870908853828,5,0,0,0,1,0,0,0,15
117.0,34.8,0,1.62,40008.0,28250.0,0,0,1.416212389380531,8,1,0,0,0,0,0,0,12
328.0,16.6,0,2.82,49804.0,34542.0,0,0,1.4418389207341786,10,0,0,1,0,0,0,0,15
154.0,35.3,0,4.46,33859.0,25298.0,1,0,1.3384061981184283,7,1,0,0,0,0,0,0,18
183.0,16.6,0,2.82,12841.0,10244.0,0,0,1.2535142522452167,8,0,0,0,0,0,1,0,13
171.5,14.0,0,1.35,72163.0,62480.0,0,1,1.1549775928297055,10,0,1,0,0,0,0,0,0
